x1,x2,target
-5.0,-5.0,0.0
-4.966555183946488,-5.0,0.0
-4.933110367892977,-5.0,0.0
-4.8996655518394645,-5.0,0.0
-4.866220735785953,-5.0,0.0
-4.832775919732441,-5.0,0.0
-4.79933110367893,-5.0,0.0
-4.765886287625418,-5.0,0.0
-4.7324414715719065,-5.0,0.0
-4.698996655518394,-5.0,0.0
-4.665551839464883,-5.0,0.0
-4.632107023411371,-5.0,0.0
-4.59866220735786,-5.0,0.0
-4.565217391304348,-5.0,0.0
-4.531772575250836,-5.0,0.0
-4.498327759197324,-5.0,0.0
-4.464882943143813,-5.0,0.0
-4.431438127090301,-5.0,0.0
-4.39799331103679,-5.0,0.0
-4.364548494983278,-5.0,0.0
-4.331103678929766,-5.0,0.0
-4.297658862876254,-5.0,0.0
-4.264214046822742,-5.0,0.0
-4.230769230769231,-5.0,0.0
-4.19732441471572,-5.0,0.0
-4.1638795986622075,-5.0,0.0
-4.130434782608695,-5.0,0.0
-4.096989966555184,-5.0,0.0
-4.063545150501672,-5.0,0.0
-4.030100334448161,-5.0,0.0
-3.9966555183946486,-5.0,0.0
-3.9632107023411374,-5.0,0.0
-3.9297658862876252,-5.0,0.0
-3.896321070234114,-5.0,0.0
-3.862876254180602,-5.0,0.0
-3.8294314381270906,-5.0,0.0
-3.7959866220735785,-5.0,0.0
-3.7625418060200673,-5.0,0.0
-3.729096989966555,-5.0,0.0
-3.6956521739130435,-5.0,0.0
-3.6622073578595318,-5.0,0.0
-3.62876254180602,-5.0,0.0
-3.5953177257525084,-5.0,0.0
-3.5618729096989967,-5.0,0.0
-3.528428093645485,-5.0,0.0
-3.4949832775919734,-5.0,0.0
-3.4615384615384617,-5.0,0.0
-3.42809364548495,-5.0,0.0
-3.3946488294314383,-5.0,0.0
-3.361204013377926,-5.0,0.0
-3.327759197324415,-5.0,0.0
-3.294314381270903,-5.0,0.0
-3.2608695652173916,-5.0,0.0
-3.2274247491638794,-5.0,0.0
-3.193979933110368,-5.0,0.0
-3.160535117056856,-5.0,0.0
-3.127090301003345,-5.0,0.0
-3.0936454849498327,-5.0,0.0
-3.0602006688963215,-5.0,0.0
-3.0267558528428093,-5.0,0.0
-2.9933110367892977,-5.0,0.0
-2.959866220735786,-5.0,0.0
-2.9264214046822743,-5.0,0.0
-2.8929765886287626,-5.0,0.0
-2.859531772575251,-5.0,0.0
-2.8260869565217392,-5.0,0.0
-2.7926421404682276,-5.0,0.0
-2.759197324414716,-5.0,0.0
-2.725752508361204,-5.0,0.0
-2.6923076923076925,-5.0,0.0
-2.658862876254181,-5.0,0.0
-2.625418060200669,-5.0,0.0
-2.5919732441471575,-5.0,0.0
-2.558528428093646,-5.0,0.0
-2.525083612040134,-5.0,0.0
-2.491638795986622,-5.0,0.0
-2.4581939799331103,-5.0,0.0
-2.4247491638795986,-5.0,0.0
-2.391304347826087,-5.0,0.0
-2.3578595317725752,-5.0,0.0
-2.3244147157190636,-5.0,0.0
-2.290969899665552,-5.0,0.0
-2.25752508361204,-5.0,0.0
-2.2240802675585285,-5.0,0.0
-2.190635451505017,-5.0,0.0
-2.157190635451505,-5.0,0.0
-2.1237458193979935,-5.0,0.0
-2.0903010033444818,-5.0,0.0
-2.05685618729097,-5.0,0.0
-2.0234113712374584,-5.0,0.0
-1.9899665551839467,-5.0,0.0
-1.956521739130435,-5.0,0.0
-1.9230769230769234,-5.0,0.0
-1.8896321070234117,-5.0,0.0
-1.8561872909699,-5.0,0.0
-1.8227424749163883,-5.0,0.0
-1.7892976588628766,-5.0,0.0
-1.7558528428093645,-5.0,0.0
-1.7224080267558528,-5.0,0.0
